stemming_data,sentiment_score,sentiment
ya nya reklamasi gagas mantan tan yasim si lumpur lapindo yg tangkap kpk karna jerat korupsi nya jijik dana nya bayar gaji bantu nyanyi biduan wanita wan,-0.2,negatif
air keruh,0.0,netral
karna sampah nya nya hitam,0.0,netral
mantap,0.0,netral
bagus banget ya reklamasi tahap bangun uda liat keren banget selamat ya makassar kota maju,0.0,netral
the next shenzen sulawesi,0.0,netral
makladesh shenzen cencen iya,0.0,netral
kalah jakarta kotor tata rapi klo kawasan cpi yg kelola swasta bersih,0.0,netral
pakai drone ombtw cpi zona larang terbang ya,0.0,netral
kadang heran warga indonesia lihat dubaiqatar yg bangun pulau reklamasi takjub ya negara eehh pas buatin kayak gin protes,0.0,netral
beda negara beda politik beda alam jgn sama,0.0,netral
celebesewako aja yg beda sdm aja dibangunin jalan aja teriak bilang gak makan jalan gilir gak buatin jalan teriak nyalahin perintah truss mau kayak gmna,0.0,netral
nurdinhanan yg rusak untung rugi,0.0,netral
makassar in dubai,0.0,netral
wouw,0.0,netral
anda ahok yg jdi guberbur sdh bagus reklamasi jakarta bentul garuda smua krna anis d batalin smua,0.0,netral
the next pik timur,0.0,netral
jakarta orng miskin gak tuju reklamasikarena takut banjir,0.0,netral
indah tempatnyaini kerja sinitepatnya rumahsakit vertikal makassar,0.0,netral
sayang prof peleset andai prof pimpin sulsel yakin sulsel cepat gerak maju dlm bidang infrastruktur jasa,0.0,netral
hahaha jakarta jaman anies cabut izin nya pindah makassar,0.2,positif
demo abis abis d bangun masjid yg ikonik ug demo ga berani muncul masjid d dalam,0.0,netral
,0.0,netral
hati konglomerat lu gua nyerah gagal jakarta gegar si anies mnang pilgub dki duit gua gak batas gua pilih daerah jalan bisnis reklamasi gua gua tinggal telp angka nominal yg si jab kait kelepek orang,0.0,netral
keren maju makasar hrs beran mngambil resiko gebrak utk maju daerah pimpin daerah hny brdiam ad maju utk daerah ny d daerah smg aj blm ad pantai reklamasi yg mngundang wisatawan lokal mancanegara,0.0,netral
makassar yen,0.0,netral
assalammualaikum salam anton madura indonesia bro ya allah aamiin ya allah,0.0,netral
waalaikumsalam,0.0,netral
histori kenang pantai losari seketila hilang,0.0,netral
sisa nya up sdm rusak fasilitas jaga bersih nya rmh susung apartemen yg ambil lahan karena makassar padat,0.0,netral
keren makassar,0.0,netral
,0.0,netral
celebesewako spertinya penganggura ya gin anak medansdm nya rendah iri dgn bangun makassar emang medan kota gitu aja gk maju,0.0,netral
stadion barombong nggak selesai skrg,0.0,netral
hebat megahmudahan berlanjutini kpd dunia indonesia negara maju,0.0,netral
hilang ciri pantai losari duluseperti bangku panjang dgn aneka makan yg saji,0.0,netral
reklamasi makasar suksessebab jakarta bangkang,0.0,netral
reklamasi mkssar reklamasi dubai,0.0,netral
mantap kereen reklamasi mkssar,0.0,netral
masuk pik jakarta org pribumi geledah tdk bawa makan n air minum kemas masuk pik makan n minum beli area pik negara dlm negara yg isi org cina,0.0,netral
ontronya lsma,0.0,netral
mantap tawwa,0.0,netral
indah banget reklamasi makasar sahabat salam sukses,0.0,netral
,0.0,netral
moga twin tower bangun sukses channelnya salam atambua ntt,0.0,netral
daerah indonesia tahap proses bangun kawasan maju modern syukur tanda maju tumbuh ekonomi negara proses maju mesti dukung biar pro kontra syukur tahap proses maju indonesia ditrack,0.2,positif
bener pinggir darat wilayah indonesia bangun biar tanah tanah pinggir kena abrasi merosot bawa air laut banyak beton beton sangga pinggir laut cegah tanah merosot laut udah kota kota kabupaten tiru bangun bangun china jepang korsel eropa amerika biar,0.0,netral
kalo banding kota besar tiga indonesia medan kota makassar kejar kota metropolitan bonus demografi medan yg malaysia singapura pacu bangun cepat kali pimpin sana sandung korupsi pungli medan sulit lesat makassar ambil alih gelar kota besar tiga,0.0,netral
wkwkwkwk mekladeshia bom level kota metro kelas kota kecilbesar tolong beda,0.0,netral
tower lum min,0.0,netral
sngat indah smg uang negara jgn korupsi bangun negara,0.0,netral
makasar bangun maju pimpin bagus sampek kaget dengernya bahagia makasar maju makasar daerah otonomi khusus,0.0,netral
lanjut reklamasi orang sulawesi anggap orang tolak oknom primitif tolak kembang modern,0.2,positif
bagus pik,0.0,netral
reklamasi gabung kalimantan sulawesi cipta pradapan bumi,0.0,netral
sana bangun monumen cpi central point of indonesia,0.0,netral
giant sea wall reklamasi jakarta batal tangan anies andai reklamasi jakarta bangun mesjid kaum gak ribut,0.0,netral
indonesia maju orientasi future kumuh piara,0.0,netral
indah pantai losari hilang krna pembagunan reklamasi,0.0,netral
perintah jokowi hasil rata indonesia jokowi kasih harga presiden tebaik presiden merdeka hidup presiden jokowi wassalam,0.0,netral
wow superb,0.55,positif
moga ajar hobby tawur,0.0,netral
ni channel derita sakit fobia overproud panatik gilaaa,0.0,netral
si lu elu kayak benci gk suka ya kota makassar kota elu bagus gak gk proyek sperti cpi sy liat komentar gk suka dgn maju kota makassar mending elu urus kota jgn sampah,0.0,netral
medanhoras mekasar loh taik kucing gak level primitif,0.0,netral
medanhoras iya biar mekasar ewakontol loh kota bikini buttom laut hidup alam,0.0,netral
medanhoras iya biar mekasar ewakontol loh laut bikini buttom hidup alam,0.0,netral
medanhoras biar mekasar ewakontol loh laut bikini buttom hidup alam,0.0,netral
mntab skali video nya,0.0,netral
moga makassar maju,0.0,netral
aamiin,0.0,netral
aaminn,0.0,netral
attand follow,0.0,netral
twin tower twin tower dicancel,0.0,netral
gak cocok rumah sarang burung walet nya bangun reklamasi cpi,0.0,netral
beda jakarta makassar kalu upgrade bagus,0.0,netral
indonesia hancur krn jajah asing aseng,0.0,netral
mantap reklamasi hambat abrasi tangkis ama tanak uruk makan tanah multi fungsi,0.0,netral
,0.0,netral
nya larang beton pulau reklamasi buat manusia yg natural krn pasir yg mudah anjlok kpn mudah tenggelam nya fungsi reklamasi rth taman hijau pohon yg fungsi cegah air rob menghisap air,0.1,positif
celebesewako lu gk prnah liat dubai ya,0.0,netral
azrielmuhammad samain dgn dubai iklim nya beda indonesia minim bencana tsunami rob yg kait dgn air negara lbh maju canggih banding indonesia negara bencana laut tsunami rob abrasi gunung rap,0.0,netral
azrielmuhammad hubung cpi reklamasi sdh perda untuk utk rth ruang tata hijau tanggul jaga ekosistem alam,0.0,netral
senang lihatya makasar kerensalam tuban jatim,0.0,netral
,0.0,netral
,0.0,netral
mekasar kotor kumuh data nya nomor indonesia duduk infrastruktur pada kelas menado jayapura balikpapan,0.0,netral
celebesewako ya moga aj iring bejlanya lbh sekarangklu kbnyakn manusia heee,0.0,netral
jkt orang pintar ngerti,0.0,netral
semingu makasar bogorwarganyah ramah,0.0,netral
alhamdulillah,0.0,netral
jalan cpi kak klw sore sunsetnya keren,0.0,netral
azrielmuhammad blm tau daerh kakbaru semingu,0.0,netral
ezraannurtetap waspada aja bro pemudapemuda mekasar suka main busur panah sembarang korban jiwa,0.16666666666666666,positif
celebesewako tau sayangeri bang,0.0,netral
susah byk pikir nya pendek nya malu dgn sulawesi reklamasi yg bagus karna masarakat nya dukung bangun dki byk yg protes nya coba liat skrg dki air uda nya reklamasi luas darat air jgn luap mungkin,0.0,netral
coba jakarta reklamasi sulawesi hasil susa byk pro kontra nya mn da maju byk yg protes nya,0.0,netral
kota makassar yes,0.0,netral
kalo jembatan model lurus indonesia gak kapal lalang sungai negeri halang jembatan,0.0,netral
stadiong manaaakasihan tuh psm belas gembel numpang mana,0.0,netral
aduhhknp nama twins tower ya kayak nya tiru duo tower malaysia ganti aja deh nama nuansa sulsel nnama gitulohh,0.0,netral
mantap tang orang tanggung kerja keras syukur jujur guna anggar manfaat masyarakat,0.0,netral
indah nya kota makasar motor kesana salam pulau bangka,0.0,netral
salam makassar,0.0,netral
salam kota daeng makassar,0.0,netral
makassar kota besar kota besar maju indonesia jakarta kalah surabaya medan makassar,0.0,netral
alhamdulillah,0.0,netral
nomor ya,0.0,netral
azrielmuhammad,0.0,netral
tau masuk makassar tu jakarta surabaya makassar medan,0.0,netral
risanggaruda hahahaha dasar katak tempurung si mahluk primitif mekasar loh urut jakarta surabaya medan bandung semarang palembang mekasar batammekassar pekanbaru balam balikpapan padang paham ya,0.2,positif
bangun lanjut selesaipastinya indah,0.0,netral
iya prlahan selesai,0.0,netral
gak bro atur perda nya cpi fungsi utama nya rt rth,0.0,netral
reklamasi penting orang duit nikmat warga huni nya warga milik orang warga pasilitas nya,0.0,netral
keren njirr samarinda,0.0,netral
alhamdulillah samarinda jg keren krn jd ibukota ikn,0.0,netral
kecoh bro main politik balik layar untung oknum yg penting duli selamat alam yg korban warga asli makasar yg tumbal,0.16666666666666666,positif
haloooo afa sdh ikut chanel sehat ttp semangat trimakasih sdh bagi vidio informasi sprti,0.0,netral
halo pakmksh y sdh hadir channel,0.0,netral
keren mananyaklo gebunurnya tangkap kpkitu uang dkorupsi wkwk,0.0,netral
isi orang indonesia orang ya,0.0,netral
orang indonesia,0.0,netral
azrielmuhammad indonesia cina ya,0.0,netral
adindaadindaqodryang ya orangorang mata cipit kalo gak ya bkin bangunanbangunan tp orangorang mekasar orang atas nama akun azriel muhammad klaim yg bangun makasar orangorang lokal,0.0,netral
makassar jdi hub utama indonesia klo industri dibnykin ngurangin gantung dg pulau jawa riset teknologi klo shenzennya indonesia,0.0,netral
daerah daerah kembang cepat selaras ibukota pindah kalimantan hidup nkri,0.0,netral
mantap makkasar nggk samain jakarta jakarta banyak klenik caci maki nggk,0.0,netral
jakarta pejabatnys banyak ngomong gk becus kerja,0.0,netral
wow bagus banget pantai reklamasi,0.1,positif
main indah pantai reklamasi makassar moga twin tower nikmat,0.16666666666666666,positif
,0.0,netral
wajar reklamasi makassar kexil,0.0,netral
keren,0.0,netral
keren gila,0.0,netral
ibukota pindah dr jakarta karna banyak orang jakarta banyak demo tuntut brisik sana butuh pimpin model ahok keras biar bangun lancar,0.0,netral
bangun sulaweai serius ga yg gagu lalo jkt reklamasi kadrun org yg iri zanamnya ahok,0.0,netral
iya puja mata sipit china korupsi triliun bajing rugi negara,0.0,netral
yg bangun makasar ya china yg gerak roda ekonomi mekassar menado dll,0.0,netral
andai fokus tingkat transportasi masal nya keren kota,0.0,netral
bangun mrt makassar,0.0,netral
azrielmuhammad hoax mahluk,0.0,netral
ajar buang damah yg bener,0.0,netral
kalo ga salah kemarin koridor bus ga dukung pemkot hari tinggal koridor kereta api masuk paksa mangkal maros lampu hijau pemkot gimana nih yg kota dunia dengar istri maju pilwalkot thn mana,0.0,netral
rezkyrezkyekysqbm maaf ijin damah bang,0.0,netral
indonesia kaya raya merdeka tumbuh naasnya si korup tumbuh miskin hkum umur hidup,0.0,netral
ganti nurdin abdullah urusang,0.0,netral
makassar hebat modern masyarakat berfikiran maju moga manfaat amin,0.2,positif
makasar salam karawang jabar,0.0,netral
salam hormat,0.0,netral
s nya,0.0,netral
lanjut salam bandung,0.0,netral
salam hormat,0.0,netral
korupsi indonesia udah psti maju kali indonesia,0.0,netral
ahok reklamasi jakarta pda demo gk jkrta dh psti lbh maju,0.0,netral
yg tempat bkn warga pribumi pribumi tempat sbgai satpam tkg sapu,0.0,netral
reklamasi makasar tata rapi pemkot makassar bisnis kelompok bisnis jakarta,0.0,netral
yg reklamasi cpi swasta murni swasta pemprov luas lahan total reklamasi milik ciputra kembang properti swasta,0.0,netral
gambar kabur thematiknya dr youtube,0.0,netral
mksdnya,0.0,netral
kota maju pulau sulawesi kota makasar,0.0,netral
maju kawasan indonesia timur,0.0,netral
,0.0,netral
tuju luar pulau jawa maju bangun hitung sumber daya rakyat benam pulau jawa khusus dki daerah milik bangga,0.0,netral
sulawesi barat tonton,0.0,netral
mamuju tonton,0.0,netral
moga sunam,0.0,netral
reklamasi isi chindo chindo,0.0,netral
wuaoww indah cantik makasartp pulai reklamasi arabdubai pasir gerus potensi tenggelam reklamasi selajutnya tdk terus,0.0,netral
kota tropis bagus pohon,0.0,netral
reklamasi jakarta alami bro alami banyak sampah alami banyak mukim kumuh alami masuk air laut darat alami tenggelam pengaruh alam unggul jakarta jaman gub an alami alam bro mudah mudah program kalah alamialami bro bangun tanggul laut jakarta indah gaya bangun modern wawas lingkung biar alamialami kayak jaman mbah an,0.2,positif
makassar kren maju,0.0,netral
jakarta emang sengaja tenggelam ab yg tolak reklamasipjokowi,0.0,netral
untung makasar onoh coba ayak kl lawan sunatullah proyek baik cegah rusa lg dukung,0.0,netral
proyek tdk tangan presiden mangkrak,0.0,netral
,0.0,netral
reklamasi cpi tuju utama cegah banjir tsunami air rob hantam pesisir pantai mekasar utk jual belikan oknum rakus haus kuasa,0.0,netral
salah woi knpa stunami cpi bangun krn lokasi makassar indonesia barat timur sana cetus mantan gubernur sulsel syahrul yasin limpo mebangun pulau buat dgn nama cpi center point of indonesia titik indonesia sana jg wisma preisden t singgahsana presiden jg cpi adab masyarakat makassar maju kota yg stunami salah krn maakssar tdk gempa sulawei sgt kota makassarkrn makassar kaki pulau sulawesi yg notabene jalur sesar aktif,-0.1,negatif
medanhoras sundala ko syahrul yasin lumpur lapindo trjerat korupsi nya jijik kyk bekicot mekasar bangladesh nya indonesia timur nomor rawan tsunami nya kena banjir rob mekasar tenggelam cpi bantal jaga kalo pasang surut hantam pesisir,0.0,netral
orang iri maju makassar medan rertinggal cuman unggul kuantias masyarakat,0.0,netral
celebesewako kau slrtinya sdm nya rendah kek orang prindapan yg medan kaum bangladesh,0.0,netral
bengkulu hadir,0.0,netral
mudah btul twin tower akn bngun cpi,0.0,netral
ga tau jg teknik mulus proyek,0.0,netral
makasar keren salam diri jatim,0.0,netral
makasar kota yg maju,0.0,netral
nge vlog nya pulang kampung nih daeng abdul fatah arifin,0.0,netral
,0.0,netral
afachannel orang sulsel ya daeng,0.0,netral
update jis bang,0.0,netral
otw,0.0,netral
afachannel,0.0,netral
wawwww makasar mantappp,0.0,netral
benci fanatisme sentimen sara yg depan fokus maju bahan renung kaum yg suci semesta,0.0,netral
ga korupsi indonesia bangun apa,0.0,netral
beeeetul betullll saudara saudari yuor comment,0.0,netral
dongjgn fokus kejakarta,0.0,netral
makassar pas titik pusat indonesia bikin reklamasi bentuk garuda gitu bangun singgah istana presiden situ,0.0,netral
reklamasi jaman beliau,0.0,netral
bener sayang twin towernya henti ide prof bagus satu gedung perintah yg sulsel komersial gadang gadang gedung tinggi makassar indonesia timur mudah mudah yg lanjutin,0.0,netral
indonesia majusaya harap propinsi bangun,0.0,netral
anis reklamasi guna rugi masyarakat,0.0,netral
gaya residen cinta jokowi ngebangun cinta rakyat gitu sayang prof karirnya hancur salam jakarta saudara tanah air ku cita indonesia maju tangan jokowi,0.0,netral
ngikutin jejak timbun utang negara banyak ya kya si jokowi,0.0,netral
bimoradityoorang g harga orang orang buruk akhlak bangun rata yg jokowi indonesia maju resiko utang jgn negara rumah tangga aja yg cuman hidup orang utang bangun negara ngomong difikirkan jgn,0.0,netral
bimoradityo ga ngerti hutang negara sok ngomong hutang utang yg lu pikirin hutang negara beda utang pinjolmu fyi negara hutang nih beli milik surat harga negara sbn yg warga negara indonesia milik total hutang negara sbn tengah situ negara topang apbn biar menuhin subsidi pertalite mu gas melon mu listrik mu sekolah makan layan sehat ntar mati utang pinjolmu digantiin negara naudzubillah min dzalik orang seperti yg bikin negara sulit maju skeptis fitnah bikin tidur ga tenang,0.0,netral
bimoradityoutang waris yg bayar era jokowi rp t sri mulyani menteri uang ri,0.0,netral
negara nggak maju kalo otak kayak kamujd minggir ajayg maju,0.0,netral
anda gubernur nga kpk in twin towernya udah gitu minimal udah tegak diri denger isu kalo salah takut nama prof kanca nasional jago cawapres timur indonesia kalo ngak salah isu,-0.1,negatif
klo fakta era org cerdas idealis kriminalisasi rejim kapitalis busuk kota gitu bupati nya kpk beliau yg insentif utk jabat rt rw,0.0,netral
ambil gambar bagus bang beda ama yg amatir ngedron gitu,0.0,netral
alhamdulilah,0.0,netral
jakarta udah tenggelam dah biarin aja air laut dah darat darat yg tenggelam bangun gedung yg masif yg akibat turun tanah akibat sumber air ekplorasi padat duduk dah resiko urbanisasi kota pinggir pantai,0.0,netral
cpi satu laut coi yg tanah nya rawan ambles krn tanah nya lunak natural,0.1,positif
emang twins tower,0.0,netral
alhamdulillah provinsi indonesia maju rata bangun optimis indonesia negara maju makmur amin,0.0,netral
emang keren,0.0,netral
jakarta ganggu radikal turun imigran baalawi yahudi yamani makasar rakyat nya cerdas rakyat jakarta mabuk agama imigran baalawi yahudi yaman suka ganggu demo ogah cepek nasbung pimpin radikal intoleran yaman,0.0,netral
asang aseng asong asing kuasa makassar biar tanah bangun juta orang cina kirim,0.0,netral
utk guna kursi roda utk main perosot bro,0.16666666666666666,positif
si,0.0,netral
jakarta kalah makasar,0.0,netral
selamat metropolis makasar keren keren,0.0,netral
jarta gagal krn pegang gubernur ygtdk dukung,0.0,netral
pulkam bang pik,0.0,netral
woohh keren jakarta kalah jauhkarena drun drun munaro yg hambat kemajuannyamalah mundur,0.0,netral
pemdanya jaga awat bersih masyarakat wajib bantu bersih biar nyaman aman senang,0.0,netral
indonesia negara negara ibu pulo kalo perintah serio bangun pari wisata kalah wisata nekgi nekgri bap indonesia musim salju yg musim kemarao hujan,0.0,netral
ayo indonesia timur kalah jakarta kalah jakarta kontaminasi kadrun,0.0,netral
gedung gedung swasta gedung,0.0,netral
reklamasi konsep dr reklamasi laku krn lahan tanah singapura wajar reklamasi pulau kosong ribu si manfaat sebar duduk bs rata jg mikir untung,0.0,netral
reklamasi mitigasi,0.0,netral
ya benar nya lawan hukum alam tau resiko nya kalo lawan hukum hukum rimba laku,0.0,netral
bang rs vertikal makassar,0.0,netral
mksh info,0.0,netral
ya kasih musik khas makassar,0.0,netral
moga fasilitas gratis wisatawan negari negeri pribadi kaya sperti kebanyakn orangpengusaha indonesia yg ken cuan pelayananmemajukan negara,0.0,netral
we dont care,0.0,netral
kalah ikan kaltim,0.0,netral
mekasar parasit harap mekassar jilat harap remah roti jatuh bangun ikn,0.0,netral
ikan kaltim itukyk gimana bentuk bro,0.0,netral
celebesewako sblum ikn dibntuk kaltim proyek cpi sdh bangun makassar pusat tumbuh hubung indonesia timur,0.0,netral
celebesewako buka mata bro makassarmakin maju skrang proyek triliun sdh resmi jokowi makassar,0.0,netral
azrielmuhammad makkasar pusat tumbuh ikn sdh ambil alih yg infrastruktur lengkap dukung jd mekassar yg minim infrastruktur duduk lari tinggal mekassar ikn balikpapan nya yg maju,0.0,netral
moga gubernur jakarta program pulau reklamasi tuju maju manusia indonesia pulau reklamasi yg modern,0.2,positif
reklamasi ga demo mcam jakarta bang arifin resep nya tuh,0.0,netral
demo esa bang ak ekspos wktu proses reklamasi aktivis blow up berita ambil tanah reklamasi dampak bnyak pulau alami abrasi,0.0,netral
reklamasi jakarta cancel krn politik,0.0,netral
maju kota makassar,0.0,netral
udh makasar aja sehat slalu abg nya,0.0,netral
masyaallah p jokowi best perata indonesia,1.0,positif
miskin rata,0.0,netral
mantap gak bnyak drama kaya dki yg super bulet kasih gubernur hebat gak,0.3333333333333333,positif
bangun sulit negara maju haloo jkt gmn naturalisasi halunisasi rakyat makmur sembako murah,0.0,netral
saaaaangat indah,0.0,netral
wow indah ya saing pi ancol nih,0.1,positif
jakarta kalo gak stop anies udh kaya dubai pesisir,0.0,netral
pimpin rakyat makasar cerdas jakarta,0.0,netral
wkwkwkw,0.0,netral
jakarta kadru yg hidup zaman batu reklamasi maju tentangmakanya ya kumuh,0.0,netral
makasar salip jakarta indah reklamasi,0.0,netral
,0.0,netral
andai amal korupsi dlm rencana bangun twin tower uda dasar jabat anjing bikin malu sul sel,0.0,netral
sy tdk bagus rumah tapak bagus bangun flat spt yg korea,-0.025,negatif
bangun rumah lahan ciputra swasta cilutra jg bangun sana ciputra world apartemen hotel,0.0,netral
azrielmuhammad halu ngomong nya biar sar hyper wouw gitu,0.0,netral
reklamasi makassar hasil halang penting politik,0.0,netral
udah kejakarta blom,0.0,netral
tempat cina cina cindo orang pribumi makasar yg cegah miskin g masuk usir satpam nya satpam asli pribumi,0.0,netral
hahaha reklamasi cpi tuju utama nya cegah nya tsunami banjir rob bandang yg langganantiap nya tp manfaat orangorang gak tanggung untung,0.2,positif
matpelor udh dijelasin tuju rekalmasinya sipaling pribumibiaya reklamasi wajar klo harga unit lokasi mahal khusus yg ajadikit ras krn bangun woii kerja,0.0,netral
matpelorotak lu belon nyampe,0.0,netral
cpi ya min center point of indonesia maaf salah,-0.1,negatif
yes bnr,0.0,netral
tdk stadion,0.0,netral
makassar reklamasi besarbesaran gak satu warga yg demo jakarta aja rencana reklamasi warga yg demo besarbesaran,0.0,netral
yg demo yg ngga bagi proyek trus hasut warga biar demo banyak ormas,0.0,netral
jakarta ormas mas disumpelin duit diem,0.0,netral
reklamasi jakarta gagal warga jakarta diasut bangsa kadrun yg negara indonesia maju,0.0,netral
gagal mata lupik sgt maju pesat ko gagal,0.0,netral
udah sono blom,0.0,netral
cpi reklamasi tuju utama cegah banjir air rob wanti air laut yg akibat tsunami pesisir manado,0.0,netral
reklamasi si jakarta gagal pdip,0.0,netral
uang manfaat dg bangun yg tata dg luarbiasa cantik layak jd kota dampak ekonomi pdb tingkat,0.0,netral
bagus moga maju,0.0,netral
mantap bang tmii bambu apus cipayung jakarta timur tonton sukses,0.0,netral
mksh sll hadir,0.0,netral
bumi urus bagus buruk,0.0,netral
pret alam asli nya natural rusak,0.1,positif
medan,0.0,netral
mantab biasaaaa,0.0,netral
jkt dlu jg klo jd akn indah mnghalangi banji rob gsw jg d tolak hdehhh pdhl klo jd bgus tuh jkt gk hbis fikri,0.0,netral
makassar surabaya jakarta kota dagang,0.0,netral
,0.0,netral
surabaya jakarta medan balikpapan iya mekasar isolir gak masuk kategori infrastruktur nya minim,0.0,netral
